THÔNG TIN SP,,,,,,,,PHÂN LOẠI,GIÁ SX,TỒN KHO,,
STT,TÊN MẪU,MÃ SP,XƯỞNG,KIỂU DÁNG,FORM,HÌNH,DANH MỤC,,,TỒN KHO,TỔNG TIỀN,TỈ LỆ
BO6,BO6-QUANNGU,BO6,,,,,,,1,0,0 đ,
BO6,BO6-TUITOTEMIX,BO6,,,,,,,1,1,"14,500 đ",
1,VỚ CỔ CAO,VO5,HN Knit,TRƠN,REGULAR,,PHỤ KIỆN,BÁN CHẠY,"14,500 đ","1,576","22,852,000 đ",0%
VO5,VO5-TRANG,VO5,ĐEN,M,,,,,0,795,"11,527,500 đ",
VO5,VO5-DEN,VO5,TRẮNG,M,,,,,0,781,"11,324,500 đ",
VO5,VO5-XAMDAM,VO5,XÁM,M,,,,,1,0,0 đ,
2,UGO,PO15,A THANH,TRƠN,REGULAR,,ÁO POLO,BÁN CHẠY,"110,000 đ",0,0 đ,0%
PO15,PO15-DEN-M,PO15,ĐEN,M,#REF!,,,,1,0,0 đ,
PO15,PO15-DEN-L,PO15,ĐEN,L,,,,,1,0,0 đ,
PO15,PO15-DEN-XL,PO15,ĐEN,XL,,,,,1,0,0 đ,
PO15,PO15-DEN-XXL,PO15,ĐEN,XXL,,,,,1,0,0 đ,
3,BOXER AMIDE,PO28,PCT,TRƠN,,,BOXER,SẢN PHẨM CHỦ LỰC,"27,754 đ",0,0 đ,0%
,,MÃ SP,MÀU,SIZE,HÌNH,,,SẢN PHẨM CHỦ LỰC,DAY,TỒN KHO,TỔNG TIỀN,
PO28,PO28-DEN-M,PO28,ĐEN,M,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO28,PO28-DEN-L,PO28,ĐEN,L,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO28,PO28-DEN-XL,PO28,ĐEN,XL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO28,PO28-DEN-XXL,PO28,ĐEN,XXL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO28,PO28-XALO-M,PO28,XÁM NHẠT,M,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO28,PO28-XALO-L,PO28,XÁM NHẠT,L,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO28,PO28-XALO-XL,PO28,XÁM NHẠT,XL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO28,PO28-XALO-XXL,PO28,XÁM NHẠT,XXL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
4,QUẦN TÂY DÀI,PO86,LC,TRƠN,SALANO,,QUẦN DÀI,SẢN PHẨM CHỦ LỰC,"160,000 đ","1,970","315,200,000 đ",4%
,,MÃ SP,MÀU,SIZE,HÌNH,,,KHÔNG RESTOCK,DAY,TỒN KHO,TỔNG TIỀN,
PO86,PO86-DEN-29,PO86,ĐEN,29,,,,KHÔNG RESTOCK,1,63,"10,080,000 đ",0%
PO86,PO86-DEN-30,PO86,ĐEN,30,,,,KHÔNG RESTOCK,0,398,"63,680,000 đ",1%
PO86,PO86-DEN-31,PO86,ĐEN,31,,,,KHÔNG RESTOCK,0,360,"57,600,000 đ",1%
PO86,PO86-DEN-32,PO86,ĐEN,32,,,,KHÔNG RESTOCK,0,157,"25,120,000 đ",0%
PO86,PO86-DEN-34,PO86,ĐEN,34,,,,KHÔNG RESTOCK,1,56,"8,960,000 đ",0%
PO86,PO86-BE-29,PO86,BE,29,,,,KHÔNG RESTOCK,1,43,"6,880,000 đ",0%
PO86,PO86-BE-30,PO86,BE,30,,,,KHÔNG RESTOCK,0,452,"72,320,000 đ",1%
PO86,PO86-BE-31,PO86,BE,31,,,,KHÔNG RESTOCK,0,317,"50,720,000 đ",1%
PO86,PO86-BE-32,PO86,BE,32,,,,KHÔNG RESTOCK,1,96,"15,360,000 đ",0%
PO86,PO86-BE-34,PO86,BE,34,,,,KHÔNG RESTOCK,1,28,"4,480,000 đ",0%
